 
                                                                                                                                                                                                                                                                
 
Variable Importance

Obs    NAME             LABEL             NRULES    IMPORTANCE    VIMPORTANCE     RATIO

  1    PC_1     Principal Component 1       246       1.00000       1.00000      1.00000
  2    PC_10    Principal Component 10      216       0.84741       0.79366      0.93658
  3    PC_13    Principal Component 13      215       0.73896       0.96642      1.30782
  4    PC_5     Principal Component 5       232       0.51986       0.38545      0.74145
  5    PC_8     Principal Component 8       315       0.48465       0.37926      0.78255
  6    PC_9     Principal Component 9       194       0.44328       0.50216      1.13284
  7    PC_2     Principal Component 2       140       0.34749       0.62810      1.80754
  8    PC_6     Principal Component 6       181       0.31442       0.16800      0.53431
  9    PC_14    Principal Component 14      150       0.30321       0.45135      1.48857
 10    PC_16    Principal Component 16      229       0.28611       0.27088      0.94678
 11    PC_15    Principal Component 15      168       0.25416       0.34041      1.33934
 12    PC_3     Principal Component 3       111       0.18762       0.19486      1.03861
 13    PC_17    Principal Component 17       85       0.15296       0.27299      1.78472
