 
                                                                                                                                                                                                                                                                
 
Variable Importance

Obs    NAME                       LABEL                           NRULES    IMPORTANCE    VIMPORTANCE     RATIO

  1    GRP_RFMstat                Grouped: RFMstat                  151       1.00000       1.00000      1.00000
  2    GRP_Recency                Grouped: Recency                  248       0.86665       0.90034      1.03887
  3    GRP_Mnt                    Grouped: Mnt                      130       0.53688       0.77208      1.43810
  4    GRP_Income                 Grouped: Income                   200       0.47990       0.50037      1.04265
  5    GRP_NumCatalogPurchases    Grouped: NumCatalogPurchases      105       0.47622       0.44843      0.94163
  6    Year_Birth                 Year_Birth                        595       0.42095       0.51696      1.22807
  7    GRP_MntGoldProds           Grouped: MntGoldProds             256       0.41361       0.47843      1.15672
  8    GRP_NumDistPurchases       Grouped: NumDistPurchases         257       0.37961       0.33569      0.88430
  9    GRP_MntFishProducts        Grouped: MntFishProducts          171       0.30926       0.28771      0.93034
 10    GRP_MntWines               Grouped: MntWines                 192       0.27668       0.30550      1.10414
 11    GRP_Frq                    Grouped: Frq                      197       0.26329       0.22486      0.85402
 12    GRP_RMntFrq                Grouped: RMntFrq                  143       0.25056       0.73879      2.94853
 13    GRP_MntMeatProducts        Grouped: MntMeatProducts          198       0.15808       0.50251      3.17879
