 
                                                                                                                                                                                                                                                                
 
Variable Importance

Obs    NAME                   LABEL                  NRULES    IMPORTANCE    VIMPORTANCE     RATIO

  1    Recency                Recency                  299       1.00000       1.00000      1.00000
  2    NumCatalogPurchases    NumCatalogPurchases      255       0.97173       0.72463      0.74571
  3    NumWebVisitsMonth      NumWebVisitsMonth        164       0.58959       0.50263      0.85250
  4    Income                 Income                   187       0.57372       0.57473      1.00176
  5    MntMeatProducts        MntMeatProducts          351       0.57066       0.49587      0.86894
  6    MntWines               MntWines                 299       0.34668       0.45860      1.32284
  7    Marital_Status         Marital_Status           101       0.34361       0.37842      1.10129
  8    NumStorePurchases      NumStorePurchases        106       0.31830       0.26963      0.84708
  9    NumDealsPurchases      NumDealsPurchases        163       0.29984       0.41121      1.37143
 10    MntFruits              MntFruits                124       0.25509       0.19780      0.77543
 11    MntFishProducts        MntFishProducts          139       0.23103       0.16438      0.71151
 12    MntGoldProds           MntGoldProds             129       0.18712       0.12818      0.68502
 13    MntSweetProducts       MntSweetProducts         141       0.18066       0.13621      0.75399
 14    Education              Education                 33       0.09321       0.15962      1.71253
