 
                                                                                                                                                                                                                                                                
 
 
Replacement Counts

Obs    Variable           Role     Label             Train

 1     AcceptedCmp1      INPUT     AcceptedCmp1        0  
 2     AcceptedCmp2      INPUT     AcceptedCmp2        0  
 3     AcceptedCmp3      INPUT     AcceptedCmp3        0  
 4     AcceptedCmp4      INPUT     AcceptedCmp4        0  
 5     AcceptedCmp5      INPUT     AcceptedCmp5        0  
 6     Complain          INPUT     Complain            0  
 7     DepVar            TARGET    DepVar              0  
 8     Education         INPUT     Education           0  
 9     Marital_Status    INPUT     Marital_Status      0  
